Year measured,Year disturbed,NEP pub ,GEP pub,ER pub,Reference,"Type(f,h,i,s)",age (years),LAI max,ET (mm),Prec (mm),Tmean C
1996,1972,757,,,Clark et al. 2004. Eco Apps 14:1154,h,24,,,,
1997,1972,622,,,Clark et al. 2004. Eco Apps 14:1154,h,25,,,,
1998,1998,-1268,,,Clark et al. 2004. Eco Apps 14:1154,h,0,,,,
1999,1998,-885,,,Clark et al. 2004. Eco Apps 14:1154,h,1,,,,
2000,1998,-528,,,"Bracho et al, 2012 Ecol Mono.",h,2,,,,
2001,1998,-237,,,"Bracho et al, 2012 Ecol Mono.",h,3,0.52,,,
2002,1998,97,,,"Bracho et al, 2012 Ecol Mono.",h,4,1.28,,,
2003,1998,458,,,"Bracho et al, 2012 Ecol Mono.",h,5,2.23,,,
2004,1998,527,,,"Bracho et al, 2012 Ecol Mono.",h,6,3.42,,,
2005,1998,718,,,"Bracho et al, 2012 Ecol Mono.",h,7,3.64,,,
2007,1998,384,,,"Bracho et al, 2012 Ecol Mono.",h,9,,,,
1999,1990,700,,,Clark et al. 2004. Eco Apps 14:1154,h,9,3,,,
2000,1990,663,,,"Bracho et al, 2012 Ecol Mono.",h,10,3.05,,,
2001,1990,640,,,"Bracho et al, 2012 Ecol Mono.",h,11,3.15,,,
2002,1990,569,,,"Bracho et al, 2012 Ecol Mono.",h,12,3.3,,,
2003,1990,818,,,"Bracho et al, 2012 Ecol Mono.",h,13,3.3,,,
2004,1990,775,,,"Bracho et al, 2012 Ecol Mono.",h,14,3.27,,,
2005,1990,735,,,"Bracho et al, 2012 Ecol Mono.",h,15,3.3,,,
2006,1990,491,,,"Bracho et al, 2012 Ecol Mono.",,16,,,,
2007,1990,,,,"Bracho et al, 2012 Ecol Mono.",,,,,,
2008,1990,613,,,"Bracho et al, 2012 Ecol Mono.",,18,,,,
2018,2017,-658,,,TBD,,0,,,,
2015,1988,659,,,TBD,,27,,,,
2016,1988,1014,,,TBD,h,28,4,,,
2017,1988,915,,,TBD,h,29,4,,,
2018,1988,995,,,TBD,,30,,,,